herdID,county,salmonellaRes,mycoplasmaRes,animalType,animalBreed,animalNumber
336,25,0,0,Youngstock heifer unknown pregnancy status,Swedish Holstein,8
337,7,0,1,Youngstock heifer unknown pregnancy status,Hereford,2
337,7,0,1,Calves on milk female,Swedish Jersey,4
337,7,0,1,Ox,Swedish Holstein,5
338,6,1,0,Bull,Swedish Polled,9
339,12,1,,Cow,Charolais,9
339,12,1,,Calves on milk male,Swedish Jersey,3
340,24,1,0,Youngstock heifer pregnant,Simmental,9
341,3,1,,Youngstock bull,Swedish Holstein,2
342,5,0,1,Youngstock heifer not pregnant,Swedish Polled,2
343,24,0,1,Calves on milk male,Swedish Red,4
344,10,1,0,Weaned calves less than 6 mo female,Charolais,8
345,18,0,0,Youngstock steer,Hereford,12
345,18,0,0,Cow,Swedish Jersey,10
345,18,0,0,Youngstock heifer pregnant,Swedish Polled,4
346,18,1,,Bull,Swedish Jersey,3
